web-scraper-order,web-scraper-start-url,Product Name,Units sold,Price
1759477013-131,https://shopee.ph/kbeautycafe#product_list,Beauty of Joseon Calming Serum: Green tea + Panthenol,4.9205 sold,850
1759477013-132,https://shopee.ph/kbeautycafe#product_list,Frankly Madecassoside & Allantoin Cream,4.9430 sold,499
1759477013-133,https://shopee.ph/kbeautycafe#product_list,ACWELL Licorice pH Balancing Cleansing Toner,5.09K+ sold,150
1759477013-134,https://shopee.ph/kbeautycafe#product_list,Heimish Moringa Ceramide BB Cream (Renewed Version),4.9540 sold,699
1759477013-135,https://shopee.ph/kbeautycafe#product_list,DONG A PHARM Acnon Cream | Noscarna Gel | Aclean Gel,5.01 sold,690
1759477013-136,https://shopee.ph/kbeautycafe#product_list,Tirtir Mask Fit Red Cushion,4.986 sold,675
1759477013-137,https://shopee.ph/kbeautycafe#product_list,Haruharu Wonder Black Rice Moisture 5.5 Soft Cleansing Gel,4.9264 sold,550
1759477013-138,https://shopee.ph/kbeautycafe#product_list,VT Cosmetics CICA Reedle Shot 50 | 100 | 300 | 700 | 1000,4.9472 sold,"1,199"
1759477013-139,https://shopee.ph/kbeautycafe#product_list,Iunik Calendula Complete Cleansing Oil,5.039 sold,300
1759477013-140,https://shopee.ph/kbeautycafe#product_list,Eqqualberry NAD+ Peptide Boosting Serum 30ml,4.9 Shop Rating,"1,119"
1759477013-141,https://shopee.ph/kbeautycafe#product_list,Medicube Hypochlorous Acid Daily Facial Spray,5.023 sold,980
1759477013-142,https://shopee.ph/kbeautycafe#product_list,Beauty of Joseon Green Plum Refreshing Toner: AHA + BHA,4.9755 sold,900
1759477013-143,https://shopee.ph/kbeautycafe#product_list,Heveblue Salmon Caring Centella Toner 200ml,5.055 sold,799
1759477013-144,https://shopee.ph/kbeautycafe#product_list,Frankly Poreless Skin Set,4.998 sold,"1,265"
1759477013-145,https://shopee.ph/kbeautycafe#product_list,The Ordinary Alpha Arbutin 2% + HA,4.9278 sold,780
1759477013-146,https://shopee.ph/kbeautycafe#product_list,Needly Daily Toner Pad (Daily | Anti-Trouble | Vita C Glow),4.92K+ sold,899
1759477013-147,https://shopee.ph/kbeautycafe#product_list,Anua Heartleaf 70 Soothing Collagen Mask,5.029 sold,250
1759477013-148,https://shopee.ph/kbeautycafe#product_list,Anua 8 Hyaluronic Acid Hydrating Gentle Foaming Cleanser 150ml,4.958 sold,699
1759477013-149,https://shopee.ph/kbeautycafe#product_list,Anua Rice 70 Intensive Moisturizing Milk,5.0375 sold,"1,150"
1759477013-150,https://shopee.ph/kbeautycafe#product_list,Medicube TXA Niacinamide 15 Serum,5.076 sold,950
1759477013-151,https://shopee.ph/kbeautycafe#product_list,Eqqualberry Swimming Pool Ampoule 50ml,5.020 sold,"1,024"
1759477013-152,https://shopee.ph/kbeautycafe#product_list,Anua PDRN Hyaluronic Acid Capsule 100 Serum 30ml,4.7136 sold,"1,099"
1759477013-153,https://shopee.ph/kbeautycafe#product_list,Kaine Lavender PDRN Revitalizing Toner,4.9 Shop Rating,270
1759477013-154,https://shopee.ph/kbeautycafe#product_list,House of Hur Weightless Sun Fluid,5.0240 sold,699
1759477013-155,https://shopee.ph/kbeautycafe#product_list,Anua Heartleaf LHA Moisture Peeling Gel,5.022 sold,789
1759477013-156,https://shopee.ph/kbeautycafe#product_list,Isntree Hyaluronic Acid Aqua Gel Cream,4.92K+ sold,699
1759477013-157,https://shopee.ph/kbeautycafe#product_list,Benton Honest Eyelash Serum,4.9786 sold,690
1759477013-158,https://shopee.ph/kbeautycafe#product_list,Klairs Freshly Juiced Vitamin Essence Toner,5.013 sold,295
1759477013-159,https://shopee.ph/kbeautycafe#product_list,Anua Heartleaf Pore Control Cleansing Oil MILD 200ML,5.0220 sold,890
1759477013-160,https://shopee.ph/kbeautycafe#product_list,Isntree Hyaluronic Acid Watery Sun Gel / Hyaluronic Acid Airy Sun Stick,4.95K+ sold,750
1759477013-161,https://shopee.ph/kbeautycafe#product_list,Kaine KOMBU Balancing Ampoule Toner / Kombu Barrier Ampoule,5.01K+ sold,220
1759477013-162,https://shopee.ph/kbeautycafe#product_list,Isntree Hyaluronic Acid Toner 200 ml / Mini,5.0648 sold,599
1759477013-163,https://shopee.ph/kbeautycafe#product_list,Illiyoon Ato Soothing Gel 175 ml,5.03K+ sold,850
1759477013-164,https://shopee.ph/kbeautycafe#product_list,Nine Less A-Control Azelaic Acid Cream,5.074 sold,650
1759477013-165,https://shopee.ph/kbeautycafe#product_list,Frankly Closer Pore Tightening Toner Pads,5.0120 sold,589
1759477013-166,https://shopee.ph/kbeautycafe#product_list,Dr. Althea Pure Grinding Cleansing Balm,5.0205 sold,860
1759477013-167,https://shopee.ph/kbeautycafe#product_list,Heveblue Salmon Caring Centella Cream 100ml,5.063 sold,845
1759477013-168,https://shopee.ph/kbeautycafe#product_list,Eqqualberry Hyaltoin Flooding Serum 30ml,4.9 Shop Rating,"1,119"
1759477013-169,https://shopee.ph/kbeautycafe#product_list,House of Hur Midnight Soothing Cleansing Balm,4.9129 sold,780
1759477013-170,https://shopee.ph/kbeautycafe#product_list,Anua BHA 2% Gentle Exfoliating Toner 150 ml,4.9303 sold,"1,150"
1759477013-171,https://shopee.ph/kbeautycafe#product_list,Pyunkang Yul Essence Toner,5.0319 sold,475
1759477013-172,https://shopee.ph/kbeautycafe#product_list,Klairs Supple Preparation Facial Toner | Unscented Toner,5.010K+ sold,285
1759477013-173,https://shopee.ph/kbeautycafe#product_list,Purito Oat In Gentle Exfoliating Face Cleanser,4.518 sold,890
1759477013-174,https://shopee.ph/kbeautycafe#product_list,"MEDHL Toner Pad - Teatree, Collagen, Retinol, Vitamide*",4.9430 sold,990
1759477013-175,https://shopee.ph/kbeautycafe#product_list,House of Hur Tropical Dew Sun Cream,4.9113 sold,699
1759477013-176,https://shopee.ph/kbeautycafe#product_list,Klairs Freshly Juiced Vitamin E Mask,5.010K+ sold,495
1759477013-177,https://shopee.ph/kbeautycafe#product_list,Anua Heartleaf 77% Clear Toner Pad,4.9803 sold,930
1759477013-178,https://shopee.ph/kbeautycafe#product_list,Round Lab Dokdo Lotion,5.080 sold,840
1759477013-179,https://shopee.ph/kbeautycafe#product_list,Dr. Althea Green Relief Amino Gel Cleanser 100ml,5.0545 sold,650
1759477013-180,https://shopee.ph/kbeautycafe#product_list,Numbuzin No.9 NAD PDRN Glow Boosting Toner 150ml,5.063 sold,990
1759477013-181,https://shopee.ph/kbeautycafe#product_list,By Wishtrend Mandelic Acid 5% Skin Prep Water Miniature,4.9725 sold,480
1759477013-182,https://shopee.ph/kbeautycafe#product_list,Skin1004 Madagascar Centella Hyalu-Cica Brightening Toner 210ml,3.424 sold,699
1759477013-183,https://shopee.ph/kbeautycafe#product_list,Anua Peach 70 Niacin Brightening Collagen Mask,5.048 sold,250
1759477013-184,https://shopee.ph/kbeautycafe#product_list,Benton Aloe BHA Skin Toner,4.9980 sold,560
1759477013-185,https://shopee.ph/kbeautycafe#product_list,Laneige Cream Skin Cerapeptide Refiner,5.01K+ sold,450
1759477013-186,https://shopee.ph/kbeautycafe#product_list,Romand Better Than Cheek,4.9488 sold,335
1759477013-187,https://shopee.ph/kbeautycafe#product_list,Anua Azelaic Acid 10 Hyaluron Redness Soothing Pad (90 Pads),5.035 sold,"1,200"
1759477013-188,https://shopee.ph/kbeautycafe#product_list,VT Cosmetics Reedle Shot 100 | 300 (Sachet),4.9502 sold,135
1759477013-189,https://shopee.ph/kbeautycafe#product_list,By Wishtrend Pore Smoothing Bakuchiol Serum,4.8599 sold,410
1759477013-190,https://shopee.ph/kbeautycafe#product_list,Fully Green Tomato Clay Mask Cleanser 30ml or 120ml,5.071 sold,745
1759477013-191,https://shopee.ph/kbeautycafe#product_list,Axis-Y Spot The Difference Blemish Treatment,4.9360 sold,570
1759477013-192,https://shopee.ph/kbeautycafe#product_list,Round Lab Birch Juice Moisturizing Cream,4.9400 sold,"1,250"
1759477013-193,https://shopee.ph/kbeautycafe#product_list,Anua Heartleaf 70 Daily Lotion,5.0714 sold,"1,150"
1759477013-194,https://shopee.ph/kbeautycafe#product_list,Benton Honest Lip Balm,4.813 sold,230
